번호_시군구명,업체명,소재지,신고일자,근로_수의사수
112 구미시,초원동물병원(출장진료전문병원),경상북도 구미시 해평면 산양리 64번지 2호  ,1997-02-18,1
113 구미시,가나동물병원,경상북도 구미시 원평동 1029번지 2호  ,1992-05-22,2
114 구미시,형곡동물병원,경상북도 구미시 형곡동 857번지  ,2004-02-11,1
115 구미시,구미 JM 동물 메디컬 센터,경상북도 구미시 공단동 251번지  ,2016-06-15,2
116 구미시,사랑동물병원,경상북도 구미시 인의동 840번지 1호  ,2003-04-09,1
117 구미시,구미가축병원,경상북도 구미시 원평동 964번지 214호  ,1964-05-31,1
118 구미시,상모동물병원,경상북도 구미시 상모동 48번지 6호  ,2004-12-02,1
119 구미시,쿨펫동물병원 구미점,경상북도 구미시 신평동 465번지 롯데마트구미점 ,2005-12-22,1
120 구미시,베스트동물병원,경상북도 구미시 진평동 5번지 3호  ,2007-07-19,1
121 구미시,구미TOP동물의료센터,경상북도 구미시 도량동 269번지 1호 RP도량점 ,2021-04-29,4
122 구미시,태원동물병원,경상북도 구미시 선산읍 노상리 48번지 구미선산 주공아파트 ,2021-03-24,1
123 구미시,다나은동물병원,경상북도 구미시 해평면 낙성리 153번지 1호  ,2020-06-23,0
124 구미시,정다운동물병원,경상북도 구미시 선산읍 교리 1349번지  ,2020-05-12,1
125 구미시,예스동물병원,경상북도 구미시 선산읍 이문리 690번지  ,2020-04-27,1
126 구미시,도그플러스 동물병원,경상북도 구미시 광평동 792번지 21호 홈플러스 구미광평점 ,2019-04-24,2
127 구미시,선샤인 동물병원,경상북도 구미시 도량동 466번지 1호  ,2018-10-12,1
128 구미시,천호동물병원,경상북도 구미시 해평면 월호리 464번지 15호  ,2018-06-08,1
129 구미시,범방동물병원,경상북도 구미시 선산읍 완전리 210번지  ,2017-07-10,1
130 구미시,구미 산동 아이엔 동물병원,경상북도 구미시 산동읍 신당리 1417번지  ,2021-06-13,1
131 구미시,현대동물병원,경상북도 구미시 사곡동 690번지 1호 굿팰리스 ,2021-04-29,1
132 구미시,수현동물병원,경상북도 구미시 산동읍 동곡리 547번지 1호  ,2017-06-12,1
133 구미시,구평동물병원,경상북도 구미시 구평동 447번지 10호  ,2014-12-12,1
134 구미시,보드미동물병원,경상북도 구미시 옥계동 734번지 2호  ,2013-11-27,1
135 구미시,다온동물병원,경상북도 구미시 인의동 702번지 6호  ,2013-03-07,1
