식당(ID),식당명,지역명,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,입식좌석수,좌식좌석수,대표메뉴명
466996,왔다! 갈비(다대 본점),부산광역시 사하구,N,N,N,N,Y,N,,,N,N,N,,,,,,,,N,N,N,,,
466997,충무김밥(부산 다대점),부산광역시 사하구,N,N,N,N,Y,N,연중무휴,매일 11:00~23:00,N,N,Y,,,,,,,,N,Y,Y,,,
467001,행복한국수,부산광역시 사하구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467008,도야족발(다대포점),부산광역시 사하구,N,N,N,N,N,N,,매일 17:00~24:00,N,N,Y,"전화예약,온라인예약",네이버,https://doya23.modoo.at/,,,,,N,N,N,,,
467030,대나무향숯불구이&할매손충무김밥,부산광역시 사하구,Y,Y,Y,N,Y,Y,,매일 11:30~23:00,N,N,N,전화예약,,,다대포 해수욕장,35.0463817,128.968006,505.838283,N,N,N,,,
467031,신포아구찜,부산광역시 사하구,Y,Y,N,N,Y,Y,수요일,매일 11:00~22:00,N,N,Y,,,,,,,,N,N,N,,,
467037,거북횟집,부산광역시 사하구,N,N,N,N,N,N,,매일 12:00~23:00,N,N,N,,,,,,,,N,N,N,,,
467039,추자도횟집,부산광역시 사하구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467041,꽃마름(다대포점),부산광역시 사하구,Y,Y,N,N,Y,Y,,매일 11:00~22:00,N,N,N,전화예약,,,다대포 해수욕장,35.0463817,128.968006,356.894541,N,N,N,,,
467042,배꼽시계,부산광역시 사하구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467044,다대포항16번가,부산광역시 사하구,N,N,N,N,N,N,,,N,N,N,,,,다대포 해수욕장,35.0463817,128.968006,421.622716,N,N,N,,,
467045,하나식당,부산광역시 사하구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
467048,우정 푸짐한 집,부산광역시 사하구,N,N,N,N,N,N,,,N,N,N,,,,다대포 해수욕장,35.0463817,128.968006,421.622716,N,N,N,,,
467051,이지요661,부산광역시 사하구,Y,Y,N,N,N,Y,,매일 08:30~00:00,N,N,N,온라인예약,네이버,,다대포 해수욕장,35.0463817,128.968006,134.718687,N,N,N,,,
467053,봉평메밀면가,부산광역시 사하구,N,N,N,N,Y,N,,,N,N,N,,,,다대포 해수욕장,35.0463817,128.968006,421.622716,N,N,N,,,
467071,인생극장(다대포점),부산광역시 사하구,Y,N,N,N,N,N,,매일 17:00~24:00,N,N,N,전화예약,,,다대포 해수욕장,35.0463817,128.968006,460.272651,N,N,N,,,
467077,수복족발,부산광역시 사하구,N,N,N,N,N,N,,,N,N,Y,,,,,,,,N,N,N,,,
467081,제일 아구찜,부산광역시 사하구,N,N,N,N,Y,N,,,N,N,N,,,,,,,,N,N,N,,,
