식당(ID),식당명,지역명,입식좌석수,좌식좌석수,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,대표메뉴명,식당상태
233664,별미식당,전라남도 목포시,16,32,N,N,N,N,N,N,연중무휴,,N,N,N,N,,,,,,,N,N,N,"김치찌개,장어탕",미확인
239306,화로닭발 연산점,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,Y,N,,,노을공원,34.80896,126.3658,933.784911,N,N,N,,운영중
239307,하당송원바베큐,전라남도 목포시,0,0,N,N,N,N,Y,N,연중무휴,매일 15:30~03:30,N,N,Y,전화예약,,http://www.instagram.com/minceol30,목포 갓바위,34.79343,126.425,45.188151,N,N,N,,운영중
239309,오두막집,전라남도 목포시,0,32,N,N,N,N,Y,N,일요일,매일 11:30~20:00,N,N,N,N,,,갓바위 문화타운,34.79368,126.421,558.324395,N,N,N,,운영중
239310,강남가든,전라남도 목포시,32,32,N,N,N,N,Y,N,일요일,매일 11:00~21:30,N,N,N,N,,,,,,,N,N,N,,운영중
239320,투모아 포미점,전라남도 목포시,0,28,N,N,N,N,Y,N,,,N,N,N,N,,,목포 관광특구,34.81188,126.3923,694.786686,N,N,N,,운영중
239321,네네치킨 용해점,전라남도 목포시,4,2,N,N,N,N,Y,N,,,N,N,Y,N,,http://www.nenechicken.com/,목포 관광특구,34.81188,126.3923,528.855189,N,N,N,,운영중
239322,유성횟집,전라남도 목포시,8,126,Y,Y,N,N,Y,Y,,"매일 10:30~21:30, 공휴일 10:30~21:30",N,N,N,N,,http://m.blog.naver.com/gteman,노을공원,34.80896,126.3658,103.130776,N,N,N,,운영중
239324,현이칼국수,전라남도 목포시,32,0,N,N,N,N,Y,N,,,N,N,Y,N,,,갓바위 문화타운,34.79368,126.421,336.632899,N,N,N,,운영중
239325,어사또왕족발,전라남도 목포시,8,24,Y,N,N,N,Y,N,,매일 12:00~02:00,N,N,Y,N,,,목포평화광장,34.79666,126.4338,788.620289,N,N,N,,운영중
239326,무등한우식육식당,전라남도 목포시,32,16,N,N,N,N,Y,N,,,N,N,N,N,,,장미의거리,34.80222,126.4258,761.667954,N,N,N,,운영중
239327,엄마손식당,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,,,,,N,N,N,,운영중
239328,장터식당,전라남도 목포시,32,4,N,N,N,N,Y,N,,,N,N,N,N,,,,,,,N,N,N,,운영중
239329,친구네집,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,,,,,N,N,N,,운영중
239330,연산김밥,전라남도 목포시,20,0,N,N,N,N,Y,N,,,N,N,N,N,,,목포 관광특구,34.81188,126.3923,637.99261,N,N,N,,운영중
239332,길림성쌀짜장,전라남도 목포시,16,16,N,N,N,N,Y,N,,,N,N,N,N,,,,,,,N,N,N,,운영중
239336,현옥,전라남도 목포시,0,72,N,N,N,N,Y,N,,매일 10:30~21:30,N,N,N,N,,,장미의거리,34.80222,126.4258,470.631067,N,N,N,,운영중
239337,브릭레인,전라남도 목포시,48,0,N,Y,N,N,Y,Y,,매일 11:00~21:30,N,N,Y,N,,http://www.instagram.com/bricklane_hj,노적봉,34.78693,126.3846,206.810423,N,N,N,,운영중
239341,고래회수산,전라남도 목포시,80,0,N,N,N,N,Y,N,,,N,N,N,N,,,목포평화광장,34.79666,126.4338,272.592751,N,N,N,,운영중
239346,돈오계솥뚜껑,전라남도 목포시,32,0,N,N,N,N,Y,N,,,N,N,N,N,,,노을공원,34.80896,126.3658,575.646652,N,N,N,,운영중
239347,청춘식당,전라남도 목포시,20,16,N,N,N,N,Y,N,,,N,N,Y,N,,,노을공원,34.80896,126.3658,588.314044,N,N,N,,운영중
239348,포차마차,전라남도 목포시,16,0,N,N,N,N,Y,N,,,N,N,N,N,,,멜라콩다리 비석,34.7939,126.3879,857.935518,N,N,N,,운영중
239350,노닥거리,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,목포시립도서관,34.80355,126.4031,297.19677,N,N,N,,운영중
239351,네네치킨 하당2점,전라남도 목포시,0,0,N,N,N,N,Y,N,,매일 12:00~00:30,N,N,Y,N,,http://www.nenechicken.com/,목포평화광장,34.79666,126.4338,758.882812,N,N,N,,운영중
239352,봉구스밥버거 목포과학대점,전라남도 목포시,9,0,N,N,N,N,Y,N,일요일,"평일 09:00~19:50, 토요일 10:10~19:50",N,N,N,N,,http://www.bongousse.net,목포시립도서관,34.80355,126.4031,605.738203,N,N,N,,운영중
239353,아지트,전라남도 목포시,20,0,N,N,N,N,Y,N,,,N,N,N,N,,,이난영의 목포의 눈물 노래비,34.79985,126.3751,566.732052,N,N,N,,운영중
239359,곤드레만드레포차,전라남도 목포시,26,0,N,N,N,N,Y,N,,매일 17:00~23:00,N,N,N,N,,,목포 해상케이블카,34.79938,126.37,507.158802,N,N,N,,운영중
239361,배짱 부대찌개앤짜글이,전라남도 목포시,8,16,N,N,N,N,Y,N,,,N,N,N,N,,,목포시립도서관,34.80355,126.4031,302.041769,N,N,N,,운영중
239362,통뼈감자탕,전라남도 목포시,30,30,N,N,N,N,Y,N,,,N,N,Y,N,레드테이블,http://www.gamjatang.com/,목포 갓바위,34.79343,126.425,96.973581,N,Y,Y,,운영중
239363,뒷개먹거리포차,전라남도 목포시,0,32,N,N,N,N,Y,N,,,N,N,Y,N,,,노을공원,34.80896,126.3658,947.99664,N,N,N,,운영중
239365,철부지족발순대국밥,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,목포 종합수산시장,34.7877803,126.38989,219.786576,N,N,N,,운영중
239366,신포우리만두 목포하당점,전라남도 목포시,40,0,N,N,N,N,Y,N,,매일 10:00~21:00,N,N,Y,N,,,갓바위 문화타운,34.79368,126.421,192.871004,N,N,N,,운영중
239367,김밥나라비파점,전라남도 목포시,36,0,N,N,N,N,Y,N,,,N,N,Y,N,,,장미의거리,34.80222,126.4258,603.155986,N,N,N,,운영중
239368,김밥천국,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,목포 해상케이블카,34.79938,126.37,478.368839,N,N,N,,운영중
239370,피자에땅 하당점,전라남도 목포시,4,0,N,N,N,N,Y,N,,,N,N,Y,N,,http://www.pizzaetang.com/,갓바위 문화타운,34.79368,126.421,441.13411,N,N,N,,운영중
239372,천가네볼태기,전라남도 목포시,48,24,Y,N,N,N,Y,Y,,매일 10:00~23:00,N,N,Y,N,레드테이블,http://chungae.7x7.kr,목포평화광장,34.79666,126.4338,174.478115,N,N,N,,운영중
239374,동해물과,전라남도 목포시,0,0,N,N,N,N,Y,N,,매일 17:00~02:00,N,N,Y,N,,,목포 관광특구,34.81188,126.3923,716.681667,N,N,N,,운영중
239380,또래오래 목포상동옥암점,전라남도 목포시,0,0,N,N,N,N,Y,N,,매일 11:00~24:00,N,N,Y,N,,"http://www.toreore.com,http://www.instagram.com/toreore_official,http://www.facebook.com/toreore9292",,,,,N,N,N,,운영중
239381,로하스황칠오리,전라남도 목포시,120,0,Y,Y,N,N,Y,Y,일요일,매일 11:30~22:00,N,Y,N,전화예약,레드테이블,,목포평화광장,34.79666,126.4338,804.524396,N,N,N,,운영중
239382,알콩달콩소주방,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,목포 관광특구,34.81188,126.3923,766.260487,Y,N,N,,운영중
239384,신안고기집,전라남도 목포시,0,48,N,N,N,N,Y,N,,,N,N,N,N,,,목포시립도서관,34.80355,126.4031,576.144534,N,N,N,,운영중
239386,명품임실피자,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,Y,N,,,목포 종합수산시장,34.7877803,126.38989,607.676065,N,N,N,,운영중
239389,유달먹거리타운,전라남도 목포시,52,0,N,Y,N,N,Y,Y,일요일,매일 17:00~04:00,N,N,N,N,,,장미의거리,34.80222,126.4258,676.433549,N,N,N,,운영중
239392,의정부부대찌게연산점,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,노을공원,34.80896,126.3658,788.172097,N,N,N,,운영중
239393,구이야 연산점,전라남도 목포시,10,5,N,N,N,N,Y,N,,,N,N,N,N,,,,,,,N,N,N,,운영중
239395,네네치킨 삼학점,전라남도 목포시,0,0,N,N,N,N,Y,N,,매일 13:00~01:30,N,N,Y,N,,http://www.nenechicken.com/,멜라콩다리 비석,34.7939,126.3879,656.179277,N,N,N,,운영중
239396,황실정식당,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,멜라콩다리 비석,34.7939,126.3879,610.930922,N,N,N,,운영중
239399,해남뻘전복전문점,전라남도 목포시,0,44,N,N,N,N,Y,N,,,N,N,Y,N,,,장미의거리,34.80222,126.4258,707.780642,N,N,N,,운영중
239402,신포우리만두 목포직영점,전라남도 목포시,56,0,N,N,N,N,Y,N,,매일 10:00~20:50,N,N,Y,N,,http://www.sinpomandoo.co.kr/,노적봉,34.78693,126.3846,248.48564,N,N,N,,운영중
239403,샘먹거리,전라남도 목포시,0,36,N,N,N,N,Y,N,,,N,N,N,N,,,목포 해상케이블카,34.79938,126.37,496.82135,N,N,N,,운영중
239404,동신참치,전라남도 목포시,24,40,N,N,N,N,Y,N,,매일 16:00~02:00,N,N,N,N,,,목포평화광장,34.79666,126.4338,393.108538,N,N,N,,운영중
239406,투모아(하당1호점),전라남도 목포시,48,0,N,N,N,N,Y,N,,,N,N,N,N,,,갓바위 문화타운,34.79368,126.421,308.219961,N,N,N,,운영중
239410,김양비어 목포점,전라남도 목포시,0,0,N,Y,N,N,Y,Y,,매일 18:00~04:00,N,N,N,N,,http://www.kimyangbeer.com/,노을공원,34.80896,126.3658,983.692719,N,N,N,,운영중
239411,행복한잔,전라남도 목포시,16,0,N,N,N,N,Y,N,,매일 17:00~24:00,N,N,N,N,,,,,,,N,N,N,,운영중
