식당(ID),식당명,지역명,입식좌석수,좌식좌석수,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,대표메뉴명,식당상태
681743,얌스 효자휴먼시아점,전라북도 전주시,52,0,N,Y,N,N,Y,N,,"매일 07:00~21:30, 매일 08:00~21:30",N,N,Y,N,레드테이블,,전주대학교 박물관,35.81416,127.0901,829.123838,N,N,N,,운영중
682213,명륜진사갈비 고사점,전라북도 전주시,0,0,N,N,N,N,Y,N,,매일 11:00~00:00,N,N,N,N,레드테이블,,객사길,35.81762,127.1437,199.399098,N,N,N,,운영중
683453,전주얼큰이샤브칼국수,전라북도 전주시,30,0,N,Y,N,N,Y,Y,일요일,매일 11:00~21:00,N,N,Y,N,레드테이블,https://jeonjueolkeuni.modoo.at,오송제,35.85935,127.1255,798.932423,N,N,N,,운영중
683773,남촌칼국수,전라북도 전주시,0,0,N,N,N,N,Y,N,,"매일 11:00~09:00, 타임 15:00~16:30",N,N,Y,N,레드테이블,,전북도청도서관,35.82033,127.1088,353.515042,N,N,N,,운영중
684261,ILDALLA COFFEE,전라북도 전주시,50,0,N,N,N,N,Y,N,,매일 10:00~01:00,N,N,N,N,레드테이블,,전북도청도서관,35.82033,127.1088,483.095971,N,N,N,,운영중
684263,호시마츠생라멘,전라북도 전주시,18,0,Y,Y,N,N,Y,Y,,매일 11:30~21:00,N,N,N,N,레드테이블,https://www.instagram.com/hosimatsu_official/,객사길,35.81762,127.1437,265.163361,N,N,N,,운영중
684346,라붐 데세르,전라북도 전주시,20,0,Y,Y,N,N,Y,Y,,"평일 10:00~22:00, 주말 10:00~23:00",N,N,Y,전화예약,레드테이블,"https://www.instagram.com/dessert_laboum/,http://0632296880.tshome.co.kr/",전북도청도서관,35.82033,127.1088,480.11856,N,N,N,,운영중
684373,사랑에 머물다,전라북도 전주시,18,0,N,N,N,N,Y,N,일요일,매일 10:30~21:30,N,N,Y,N,레드테이블,https://www.instagram.com/stayin_love_,황강서원,35.82904,127.1031,990.338924,N,N,N,,운영중
684431,청춘식당,전라북도 전주시,24,0,N,Y,N,N,Y,Y,,매일 11:30~20:30,N,N,Y,N,레드테이블,,객사길,35.81762,127.1437,265.163361,N,N,N,,운영중
684832,오버플로우,전라북도 전주시,48,0,N,Y,N,N,Y,Y,연중무휴,"매일 11:00~22:00, 매일 02:00~22:00",N,N,Y,N,레드테이블,http://www.instagram.com/overflow_1679_3,전주대학교 박물관,35.81416,127.0901,847.359171,N,N,N,,운영중
685018,마노,전라북도 전주시,28,0,Y,Y,N,N,Y,Y,,"매일 11:30~15:00, 매일 17:00~21:00",N,N,N,전화예약,레드테이블,http://www.instagram.com/rich.park?igshid=j2ng8ym2gglu,전북도청도서관,35.82033,127.1088,530.677601,N,N,N,,운영중
686025,남매네집,전라북도 전주시,0,0,N,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,폐업
686302,더리터 삼천점,전라북도 전주시,18,0,N,Y,N,N,Y,N,,매일 09:30~22:00,N,N,Y,N,레드테이블,,,,,,Y,N,N,,운영중
686531,문꼬치,전라북도 전주시,0,0,N,Y,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,"문꼬치,바게트버거,닭꼬치,나들이,길거리음식",미확인
686566,인정식당,전라북도 전주시,40,0,N,N,N,N,Y,N,,매일 17:00~02:00,N,N,N,N,레드테이블,,황강서원,35.82904,127.1031,889.949529,N,N,N,,운영중
686744,도시어부,전라북도 전주시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,조경단,35.84538,127.1207,891.57066,N,N,N,,운영중
686812,별아래꽃,전라북도 전주시,36,0,Y,Y,N,N,Y,Y,일요일,"평일 10:00~18:00, 주말 10:00~18:00",N,N,N,N,레드테이블,"http://blog.naver.com/qlgml,https://www.instagram.com/flowerstar_ricecake/,http://smartstore.naver.com/flower_underthesta",객사길,35.81762,127.1437,162.531634,N,N,N,,운영중
686914,디플랑,전라북도 전주시,0,0,N,Y,N,N,Y,N,,매일 10:30~21:30,N,N,Y,전화예약,레드테이블,https://blog.naver.com/d-flan,객사길,35.81762,127.1437,66.399336,N,N,N,,운영중
686954,더리터 효자점,전라북도 전주시,0,0,N,Y,N,N,Y,N,,"평일 08:00~22:00, 주말 09:00~22:00",N,N,Y,N,,,,,,,N,N,N,,운영중
687022,루밍아이리스,전라북도 전주시,0,0,N,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,운영중
687689,엉터리 생고기,전라북도 전주시,0,0,N,Y,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,운영중
687837,낙지볶음개미집 전북대점,전라북도 전주시,56,0,N,N,N,N,Y,N,,매일 11:00~22:00,N,N,N,전화예약,레드테이블,,덕진공원,35.8475,127.121,526.484358,N,N,N,,운영중
687838,이코이교토 객사본점,전라북도 전주시,0,0,N,Y,N,N,Y,Y,,매일 17:30~02:00,N,N,N,N,,,객사길,35.81762,127.1437,357.298887,N,N,N,,운영중
688243,돈돈정 객사점,전라북도 전주시,40,0,Y,Y,N,N,Y,Y,,매일 11:00~21:30,N,N,Y,N,레드테이블,,객사길,35.81762,127.1437,199.399098,N,N,N,,운영중
688518,소곰집,전라북도 전주시,0,0,N,Y,N,N,Y,Y,,"매일 11:00~14:00, 매일 17:00~23:00",N,N,Y,전화예약,레드테이블,,황강서원,35.82904,127.1031,927.949626,N,N,N,,운영중
689130,인기명 전주신시가지점,전라북도 전주시,72,0,N,N,N,N,Y,N,,,N,N,Y,전화예약,레드테이블,http://www.inkimyung.com/,전북도청도서관,35.82033,127.1088,237.689682,N,N,N,,운영중
689386,이비가짬뽕 평화점,전라북도 전주시,76,0,Y,Y,N,N,Y,Y,,매일 11:00~21:00,N,N,Y,N,레드테이블,http://www.ebiga.co.kr,,,,,N,N,N,,운영중
689678,에덴수산,전라북도 전주시,0,0,Y,N,N,N,Y,Y,일요일,"매일 12:00~21:00, 수요일 12:00~15:00",N,N,N,N,,"http://edensusan.com,https://www.instagram.com/edensusan_official/",,,,,N,N,N,,운영중
689727,커피커플,전라북도 전주시,22,0,Y,Y,N,N,Y,N,일요일,매일 11:00~22:00,N,N,Y,N,레드테이블,https://coffeecouple.modoo.at,전주대학교 박물관,35.81416,127.0901,489.851407,N,N,N,,운영중
689999,효자수산,전라북도 전주시,0,0,Y,Y,N,N,Y,Y,,매일 17:00~04:00,N,N,Y,전화예약,,,객사길,35.81762,127.1437,205.984568,N,N,N,,운영중
690305,빽다방 전주서신중앙점,전라북도 전주시,10,0,N,N,N,N,Y,N,,매일 09:00~21:00,N,N,Y,N,레드테이블,,황강서원,35.82904,127.1031,943.978811,N,N,N,,운영중
691464,만개부엌,전라북도 전주시,50,0,N,N,N,N,Y,N,,매일 11:30~22:30,N,N,Y,N,레드테이블,http://instagram.com/mangae__kichen,객사길,35.81762,127.1437,457.065633,N,N,N,,운영중
691515,걸작떡볶이치킨 전주효자신시가지점,전라북도 전주시,20,0,N,N,N,N,Y,N,연중무휴,매일 11:00~22:30,N,N,Y,N,레드테이블,"http://www.eguljak.com,http://blog.naver.com/goodinfo21,https://www.facebook.com/guljaktopokki,https://www.instagram.com/guljaktopokki/",전북도청도서관,35.82033,127.1088,698.421284,N,Y,Y,,운영중
692483,우전재 한식,전라북도 전주시,0,0,N,Y,N,N,Y,N,월요일,"평일 11:00~20:00, 주말 08:00~20:00",N,N,N,N,,,경기전,35.81624,127.1494,147.52991,N,N,N,,운영중
692491,카페 일삼이이,전라북도 전주시,28,0,N,Y,N,Y,Y,N,,,N,N,N,N,레드테이블,https://www.instagram.com/cafe_1322/,경기전,35.81624,127.1494,147.34837,N,N,N,,운영중
692623,33떡볶이 전주하가점,전라북도 전주시,0,0,N,Y,N,N,Y,Y,월요일,,N,N,Y,N,레드테이블,,,,,,Y,N,N,,운영중
693597,팔공티 전주서신점,전라북도 전주시,0,0,N,N,N,N,Y,N,,,N,N,Y,N,레드테이블,"http://www.palgongtea.co.kr/,https://blog.naver.com/palgongtea_official,https://www.facebook.com/Palgongtea.official,https://www.instagram.com/palgongtea.official/",황강서원,35.82904,127.1031,867.022963,Y,N,N,,운영중
693621,갈통삼 전북 효자점,전라북도 전주시,0,0,N,N,N,N,Y,N,,매일 11:00~24:00,N,N,N,N,,,,,,,N,N,N,,운영중
693932,명륜진사갈비 효자점,전라북도 전주시,72,0,Y,N,N,Y,Y,N,,매일 11:30~23:00,N,N,N,전화예약,레드테이블,https://myoungryungalbi.modoo.at,,,,,N,N,N,,운영중
695222,노랑통닭 호성점,전라북도 전주시,24,0,N,N,N,N,Y,N,,매일 14:00~01:00,N,N,Y,N,레드테이블,"http://norangtongdak.co.kr/,http://www.instagram.com/norangtongdak486/,http://www.facebook.com/norangtongdak/",전주동물원,35.85512,127.1443,871.730526,N,Y,Y,,운영중
695787,더한잔,전라북도 전주시,80,0,N,Y,N,N,Y,Y,,매일 17:30~05:00,N,N,N,N,레드테이블,,,,,,N,N,N,,운영중
695788,장위동유성집 혁신점,전라북도 전주시,0,0,N,N,N,N,Y,N,연중무휴,매일 16:30~22:00,N,N,N,N,,https://jangwi.modoo.at,기지제,35.84603,127.0627,293.570698,N,N,N,,운영중
696053,"니뽕내뽕전주신시가지씨지브이점	",전라북도 전주시,38,0,Y,Y,N,N,Y,Y,,매일 11:00~21:00,N,N,N,N,레드테이블,,전북도청도서관,35.82033,127.1088,440.831802,N,N,N,,운영중
696054,소담촌 전주효자점,전라북도 전주시,130,6,Y,Y,Y,N,Y,Y,,매일 11:00~22:00,N,N,N,전화예약,레드테이블,,전북도청도서관,35.82033,127.1088,562.412046,N,N,N,,운영중
696072,샘물맥주효자1호점,전라북도 전주시,50,0,N,N,N,N,Y,N,,매일 17:00~03:00,N,N,Y,N,레드테이블,,황강서원,35.82904,127.1031,665.299968,N,N,N,,운영중
696107,대가족,전라북도 전주시,44,0,N,Y,N,N,Y,N,월요일,평일 14:00~23:00,N,N,Y,전화예약,레드테이블,,,,,,N,N,N,,운영중
696134,억대국수,전라북도 전주시,60,0,N,Y,N,N,Y,Y,,"평일 11:00~22:00, 토요일 11:00~21:00",N,N,N,N,레드테이블,,전북도청도서관,35.82033,127.1088,646.870189,N,N,N,,운영중
696316,마이마이치킨 전북대점,전라북도 전주시,44,0,N,Y,N,N,N,N,토요일,,N,N,N,N,,,,,,,N,N,N,"치킨,치맥,생맥주",운영중
696391,이디야커피 중화산동점,전라북도 전주시,48,0,Y,Y,N,N,Y,Y,,매일 09:00~23:00,N,N,Y,N,레드테이블,"http://www.ediya.com/,http://instagram.com/ediya.coffee",다가공원,35.8122,127.1198,523.347339,N,Y,Y,,운영중
696629,태조로39,전라북도 전주시,26,12,N,N,N,Y,Y,N,,,N,N,N,N,레드테이블,,객사길,35.81762,127.1437,110.160616,N,N,N,,운영중
696683,육값어치 신시가지점,전라북도 전주시,35,0,N,Y,N,N,Y,Y,,매일 18:00~03:00,N,N,Y,전화예약,레드테이블,,전북도청도서관,35.82033,127.1088,407.985797,N,N,N,,운영중
697046,마시로이,전라북도 전주시,10,20,N,N,N,N,Y,N,,,N,N,N,N,레드테이블,,오송제,35.85935,127.1255,667.129457,N,N,N,,운영중
697156,밭두렁 쌈밥,전라북도 전주시,0,0,Y,N,N,N,Y,Y,토요일,"매일 11:00~21:00,  15:00~17:00",N,N,N,전화예약,,,기지제,35.84603,127.0627,146.805679,N,N,N,,운영중
698249,파리바게뜨 에코시티점,전라북도 전주시,16,0,N,Y,N,N,Y,N,,매일 07:00~23:00,N,N,N,N,레드테이블,,세병공원,35.87683,127.1308,438.537536,N,N,N,,운영중
698664,주도락,전라북도 전주시,24,0,Y,Y,N,N,Y,Y,,,N,N,N,전화예약,레드테이블,,황강서원,35.82904,127.1031,577.823106,N,N,N,,운영중
698717,올어바웃,전라북도 전주시,0,0,Y,Y,N,N,Y,N,,매일 11:00~20:00,N,N,N,전화예약,,http://instagram.com/103cake,조경단,35.84538,127.1207,970.692397,N,N,N,,운영중
699304,중산일리터커피,전라북도 전주시,28,0,N,N,N,N,Y,N,,매일 09:30~22:00,N,N,Y,N,레드테이블,,다가공원,35.8122,127.1198,610.10933,N,N,N,,운영중
699986,천씨씨커피 도청점,전라북도 전주시,100,0,N,Y,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,"아메리카노, 카페라떼",운영중
700611,쿠우쿠우 전주송천점,전라북도 전주시,0,0,Y,N,Y,N,Y,Y,,매일 11:30~21:30,N,N,N,전화예약,,http://www.qooqoo.co.kr/,오송제,35.85935,127.1255,931.284609,N,N,N,,운영중
700972,두끼떡볶이 NC전주객사점,전라북도 전주시,34,0,Y,Y,N,N,N,N,지정 휴무일 없음,,N,N,N,N,,,,,,,N,N,N,"떡볶이뷔페,즉석떡볶이,오징어튀김,어묵,순대",운영중
