식당(ID),식당명,지역명,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,입식좌석수,좌식좌석수,대표메뉴명
542129,더한우사랑,광주광역시 동구,N,Y,N,N,Y,Y,,매일 10:00~22:00,N,N,N,전화예약,,,학동증심사입구역,35.1333493,126.9284320,322.5538600,N,N,N,,,더한우 생고기
542417,삐아짜,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
542895,꾸시닭,광주광역시 동구,N,N,N,N,Y,N,월요일,,N,N,N,,,,소태역,35.1230319,126.9325690,619.8968060,N,N,N,,,양념숯불구이
542896,페니레인,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
543044,카페드롭탑(광주 학동점),광주광역시 동구,Y,Y,N,N,Y,Y,,매일 09:00~23:00,N,N,N,,,"http://www.cafedroptop.com/,http://www.facebook.com/cafedroptopkr,http://www.instagram.com/droptop_official,http://blog.naver.com/droptop2011",학동증심사입구역,35.1333493,126.9284320,218.2838670,N,N,N,,,아메리카노
543089,무등산한방약계촌,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,,,,,N,N,N,,,한방약게탕
543311,산적해적,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
543312,진도횟집,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,인당국악사,35.1453096,126.9215580,569.8898200,N,N,N,,,광어
543659,벌크커피(충장점),광주광역시 동구,N,N,N,N,Y,N,,,N,N,Y,,,,문화전당역(구도청),35.1464409,126.9198890,163.8699400,N,N,N,,,카페라떼
543687,갤러리358,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,소태역,35.1230319,126.9325690,370.0632690,N,N,N,,,허니브레드
543949,대갓집밥상,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,금남로4가역,35.1507100,126.9147300,316.5611620,N,N,N,,,
543975,신전떡볶이(충장점),광주광역시 동구,N,N,N,N,Y,N,,매일 11:00~10:30,N,N,Y,전화예약,,http://sinjeon.co.kr/,문화전당역(구도청),35.1464409,126.9198890,462.1982980,N,N,N,,,떡볶이
544232,우다방,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,237.2529350,N,N,N,,,
544275,에스,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
544808,에스,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
